airport_2,,inbound_ap,Year,quarter,inbound_passengers,nsmiles,fare,large_ms,fare_lg,lf_ms,fare_low,cluster
AZA,0,AZA,2008,1,200,1237.555,164.43495,1.0,164.43495,1.0,164.43495,0
AZA,1,AZA,2009,1,346,1237.2514450867052,144.2684971098266,1.0,144.2684971098266,1.0,144.2684971098266,0
AZA,2,AZA,2009,2,284,1237.2640845070423,115.35169014084508,0.9945422535211267,115.40626760563381,0.9945422535211267,115.40626760563381,0
AZA,3,AZA,2009,4,283,1302.339222614841,128.80996466431097,1.0,128.80996466431097,1.0,128.80996466431097,0
AZA,4,AZA,2010,1,548,1282.4963503649635,139.39777372262773,1.0,139.39777372262773,1.0,139.39777372262773,0
AZA,5,AZA,2010,2,378,1308.510582010582,123.2826455026455,1.0,123.2826455026455,1.0,123.2826455026455,0
AZA,6,AZA,2010,3,216,1360.8240740740741,124.48875,1.0,124.48875,1.0,124.48875,0
AZA,7,AZA,2010,4,78,1574.0,138.71,1.0,138.71,1.0,138.71,0
AZA,8,AZA,2011,1,617,1241.9902755267424,152.9154943273906,0.9935818476499189,152.9307293354943,0.9935818476499189,152.9307293354943,0
AZA,9,AZA,2011,2,88,1574.0,161.3,0.9900000000000001,161.22,0.9900000000000001,161.22,0
AZA,10,AZA,2011,3,89,1574.0,141.11,1.0,141.11,1.0,141.11,0
AZA,11,AZA,2011,4,185,1016.5621621621622,128.7006486486486,0.9920540540540541,128.8834054054054,0.9920540540540541,128.8834054054054,0
AZA,12,AZA,2012,1,1192,1156.4496644295302,138.2021476510067,0.9816862416107384,138.04932885906038,0.9816862416107384,138.04932885906038,0
AZA,13,AZA,2012,2,252,881.968253968254,98.96698412698413,0.937063492063492,99.54551587301586,0.8184523809523809,97.26769841269841,0
AZA,14,AZA,2012,3,177,911.0790960451977,94.50497175141241,0.9375706214689267,94.68293785310735,0.86045197740113,93.50045197740114,0
AZA,15,AZA,2012,4,455,981.8725274725275,103.7776923076923,0.8500879120879122,107.11536263736264,0.8106813186813188,99.08323076923078,0
AZA,16,AZA,2013,1,1259,1160.880063542494,126.60258141382052,0.9401826846703734,126.18096902303412,0.8908181096108022,125.65009531374105,0
AZA,17,AZA,2013,2,726,1198.6942148760331,118.31911845730029,0.9913911845730026,118.24035812672176,0.984862258953168,118.12502754820935,0
AZA,18,AZA,2013,3,224,1188.455357142857,122.21227678571428,1.0,122.21227678571428,1.0,122.21227678571428,0
AZA,19,AZA,2013,4,57,1211.6842105263158,108.35754385964911,1.0,108.35754385964911,1.0,108.35754385964911,0
AZA,20,AZA,2014,1,1628,1161.0454545454545,137.83,1.0,137.83,1.0,137.83,0
AZA,21,AZA,2014,2,569,1194.8980667838314,128.1982425307557,1.0,128.1982425307557,1.0,128.1982425307557,0
AZA,22,AZA,2014,3,111,1223.1891891891892,134.7743243243243,1.0,134.7743243243243,1.0,134.7743243243243,0
AZA,23,AZA,2014,4,554,1239.8086642599278,135.34,1.0,135.34,1.0,135.34,0
AZA,24,AZA,2015,1,1562,1215.6600512163893,144.88836747759282,1.0,144.88836747759282,1.0,144.88836747759282,0
AZA,25,AZA,2015,2,507,1288.1854043392505,118.39913214990136,1.0,118.39913214990136,1.0,118.39913214990136,0
AZA,26,AZA,2015,3,217,1356.889400921659,118.03032258064518,1.0,118.03032258064518,1.0,118.03032258064518,0
AZA,27,AZA,2015,4,474,1263.2362869198312,127.02462025316457,1.0,127.02462025316457,1.0,127.02462025316457,0
AZA,28,AZA,2016,1,1654,1185.6880290205563,129.17606408706166,1.0,129.17606408706166,1.0,129.17606408706166,0
AZA,29,AZA,2016,2,642,1287.1806853582555,100.52668224299065,1.0,100.52668224299065,1.0,100.52668224299065,0
AZA,30,AZA,2016,3,283,1313.6113074204948,98.06137809187278,1.0,98.06137809187278,1.0,98.06137809187278,0
AZA,31,AZA,2016,4,623,1224.6629213483145,119.33327447833064,1.0,119.33327447833064,1.0,119.33327447833064,0
AZA,32,AZA,2017,1,1244,1189.5490353697749,130.55493569131832,1.0,130.55493569131832,1.0,130.55493569131832,0
AZA,33,AZA,2017,2,390,1298.3538461538462,99.06348717948717,1.0,99.06348717948717,1.0,99.06348717948717,0
AZA,34,AZA,2017,3,272,1266.6801470588234,96.7177205882353,1.0,96.7177205882353,1.0,96.7177205882353,0
AZA,35,AZA,2017,4,718,1203.3440111420614,112.08256267409473,1.0,112.08256267409473,1.0,112.08256267409473,0
AZA,36,AZA,2018,1,1497,1180.2818971275885,131.9208684034736,1.0,131.9208684034736,1.0,131.9208684034736,0
